ra,dec
347.95139,-6.25660
347.95084,-6.25685
347.95029,-6.25709
347.94974,-6.25734
347.94918,-6.25759
347.94863,-6.25784
347.94808,-6.25809
347.94752,-6.25834
347.94697,-6.25860
347.94641,-6.25885
347.94585,-6.25910
347.94530,-6.25935
347.94474,-6.25960
347.94418,-6.25985
347.94362,-6.26011
347.94306,-6.26036
347.94250,-6.26061
347.94194,-6.26087
347.94138,-6.26112
347.94081,-6.26137
347.94025,-6.26163
347.93968,-6.26188
347.93912,-6.26214
347.93855,-6.26239
347.93799,-6.26265
347.93742,-6.26290
347.93685,-6.26316
347.93628,-6.26341
347.93572,-6.26367
347.93515,-6.26393
347.93458,-6.26418
347.93400,-6.26444
347.93343,-6.26470
347.93286,-6.26495
347.93229,-6.26521
347.93171,-6.26547
347.93114,-6.26573
347.93056,-6.26599
347.92999,-6.26625
347.92941,-6.26651
347.92883,-6.26677
347.92826,-6.26703
347.92768,-6.26729
347.92710,-6.26755
347.92652,-6.26781
347.92594,-6.26807
347.92536,-6.26833
347.92477,-6.26859
347.92419,-6.26885
347.92361,-6.26911
347.92302,-6.26938
347.92244,-6.26964
347.92185,-6.26990
347.92127,-6.27016
347.92068,-6.27043
347.92009,-6.27069
347.91951,-6.27095
347.91892,-6.27122
347.91833,-6.27148
347.91774,-6.27175
347.91715,-6.27201
347.91656,-6.27228
347.91596,-6.27254
347.91537,-6.27281
347.91478,-6.27307
347.91418,-6.27334
347.91359,-6.27361
347.91299,-6.27387
347.91240,-6.27414
347.91180,-6.27441
347.91120,-6.27468
347.91061,-6.27494
347.91001,-6.27521
347.90941,-6.27548
347.90881,-6.27575
347.90821,-6.27602
347.90760,-6.27629
347.90700,-6.27656
347.90640,-6.27682
347.90580,-6.27709
347.90519,-6.27736
347.90459,-6.27764
347.90398,-6.27791
347.90338,-6.27818
347.90277,-6.27845
347.90216,-6.27872
347.90155,-6.27899
347.90094,-6.27926
347.90034,-6.27954
347.89972,-6.27981
347.89911,-6.28008
347.89850,-6.28035
347.89789,-6.28063
347.89728,-6.28090
347.89666,-6.28117
347.89605,-6.28145
347.89544,-6.28172
347.89482,-6.28200
347.89420,-6.28227
347.89359,-6.28255
347.89297,-6.28282
347.89235,-6.28310
347.89173,-6.28338
347.89111,-6.28365
347.89049,-6.28393
347.88987,-6.28420
347.88925,-6.28448
347.88863,-6.28476
347.88801,-6.28504
347.88738,-6.28531
347.88676,-6.28559
347.88613,-6.28587
347.88551,-6.28615
347.88488,-6.28643
347.88426,-6.28671
347.88363,-6.28699
