RA_d,DEC_d,Name,SpT,e_SpT,Teff,Vmag,B-V,Icmag,V-Ic,logL*,M*,e_M*,E_M*,Age,e_Age,E_Age,R*,e_R*,Per,Cl,Notes,Simbad,_RA,_DE
68.97029,22.84961,2MASS J04355286+2250585,M4.25,0.25,3090.0,,,,,,,,,,,,,,,3,"c,f",Simbad,68.97029,22.84961
69.74417,23.60978,2MASS J04385859+2336351,M4.25,1.0,3090.0,,,,,,,,,,,,,,,2,"c,f",Simbad,69.74417,23.60978
63.77149,28.14617,[BCG93] 2,M4.50,1.0,3020.0,,,,,,,,,,,,,,,3,"c,f",Simbad,63.77149,28.14617
64.12704,30.61814,2MASS J04163048+3037053,M4.50,0.25,3020.0,,,,,,,,,,,,,,,3,"c,f",Simbad,64.12704,30.61814
73.95083,30.50447,2MASS J04554820+3030160,M4.50,0.25,3020.0,,,,,,,,,,,,,,,3,"c,f",Simbad,73.95083,30.50447
68.10065,22.85233,2MASS J04322415+2251083,M4.50,1.0,3020.0,,,,,,,,,,,,,,,2,"c,f",Simbad,68.10065,22.85233
68.96708,22.91778,2MASS J04355209+2255039,M4.50,0.25,3020.0,,,,,,,,,,,,,,,3,"c,f",Simbad,68.96708,22.91778
65.16325,27.29214,2MASS J04203918+2717317,M4.50,0.25,3020.0,,,,,,,,,,,,,,,3,"c,f",Simbad,65.16325,27.29214
64.61179,28.336,2MASS J04182683+2820096,M4.50,1.0,3020.0,,,,,,,,,,,,,,,,"c,f",Simbad,64.61179,28.336
70.58757,25.34288,2MASS J04422101+2520343,M4.75,1.0,2950.0,,,,,,,,,,,,,,,2,"c,f",Simbad,70.58757,25.34288
73.93896,30.32748,2MASS J04554535+3019389,M4.75,1.0,2950.0,,,,,,,,,,,,,,,2,"c,f",Simbad,73.93896,30.32748
73.94822,30.46881,2MASS J04554757+3028077,M4.75,0.25,2950.0,,,,,,,,,,,,,,,3,"c,f",Simbad,73.94822,30.46881
68.43605,26.25015,2MASS J04334465+2615005,M4.75,1.0,2950.0,,,,,,,,,,,,,,,2,"c,f",Simbad,68.43605,26.25015
69.48625,25.77303,2MASS J04375670+2546229,M4.75,2.0,2950.0,,,,,,,,,,,,,,,2,"c,f",Simbad,69.48625,25.77303
64.05043,27.94405,2MASS J04161210+2756385,M4.75,1.0,2950.0,,,,,,,,,,,,,,,2,"c,f",Simbad,64.05043,27.94405
65.60021,26.77383,2MASS J04222404+2646258,M4.75,0.25,2950.0,,,,,,,,,,,,,,,3,"c,f",Simbad,65.60021,26.77383
66.18776,27.02909,2MASS J04244506+2701447,M5,1.0,2880.0,,,,,,,,,,,,,,,3,"c,f",Simbad,66.18776,27.02909
67.99352,25.72498,2MASS J04315844+2543299,M5,1.0,2880.0,,,,,,,,,,,,,,,3,"c,f",Simbad,67.99352,25.72498
63.56079,28.46613,FN Tau,M5,1.0,2880.0,15.62,1.27,14.73,0.89,-1.738,,,,,,,0.54,0.12,,2,"b,f",Simbad,63.56079,28.46613
69.93701,26.03133,IRAS F04366+2555,M5,1.0,2880.0,,,,,,,,,,,,,,,2,"c,f",Simbad,69.93701,26.03133
73.98486,30.82708,2MASS J04555637+3049375,M5,0.25,2880.0,,,,,,,,,,,,,,,3,"c,f",Simbad,73.98486,30.82708
66.73886,26.10789,2MASS J04265732+2606284,M5,1.0,2880.0,,,,,,,,,,,,,,,2,"c,f",Simbad,66.73886,26.10789
64.45647,28.22551,2MASS J04174955+2813318,M5,1.0,2880.0,,,,,,,,,,,,,,,2,"c,f",Simbad,64.45647,28.22551
67.49795,24.55218,2MASS J04295950+2433078,M5,1.0,2880.0,,,,,,,,,,,,,,,2,"c,f",Simbad,67.49795,24.55218
69.89017,23.98922,2MASS J04393364+2359212,M5,1.0,2880.0,,,,,,,,,,,,,,,2,"c,f",Simbad,69.89017,23.98922
70.26768,25.96559,2MASS J04410424+2557561,M5,1.0,2880.0,,,,,,,,,,,,,,,3,"c,f",Simbad,70.26768,25.96559
68.99004,22.89931,2MASS J04355760+2253574,M5:e,1.0,2880.0,,,,,,,,,,,,,,,2,"c,f",Simbad,68.99004,22.89931
65.28314,27.03901,2MASS J04210795+2702204,M5.25,1.0,2860.0,,,,,,,,,,,,,,,2,"c,f",Simbad,65.28314,27.03901
